Source,Target,Type,Weight
Meister des Altenberger Altars,Meister der Augustiner-Kreuzigung,undirected,1
Meister des Altenberger Altars,Sebald Weinschroeter,undirected,1
Meister des Altenberger Altars,Maître Bertram,undirected,1
Meister des Altenberger Altars,Maître Francke,undirected,1
Meister des Altenberger Altars,Hans von Tübingen,undirected,1
Meister des Altenberger Altars,Maître de la Véronique,undirected,1
Meister des Altenberger Altars,Lukas Moser,undirected,1
Meister des Altenberger Altars,Lukas Moser,undirected,1
Meister der Augustiner-Kreuzigung,Sebald Weinschroeter,undirected,1
Meister der Augustiner-Kreuzigung,Maître Bertram,undirected,1
Meister der Augustiner-Kreuzigung,Maître Francke,undirected,1
Meister der Augustiner-Kreuzigung,Hans von Tübingen,undirected,1
Meister der Augustiner-Kreuzigung,Maître de la Véronique,undirected,1
Meister der Augustiner-Kreuzigung,Lukas Moser,undirected,1
Meister der Augustiner-Kreuzigung,Lukas Moser,undirected,1
mestre de l’Arboç,Ramón Destorrents,undirected,1
mestre de l’Arboç,Arnau Bassa,undirected,1
mestre de l’Arboç,Lluis Borrassà,undirected,1
mestre de l’Arboç,Antoni Peris,undirected,1
mestre de l’Arboç,Guerau Gener,undirected,1
mestre de l’Arboç,Ramon de Mur,undirected,1
mestre de l’Arboç,Jaume Mateu,undirected,1
mestre de l’Arboç,Bernat Martorell,undirected,1
Manuel Panselinos,Georgios Kalliergis,undirected,1
Manuel Panselinos,Théophane le Grec,undirected,1
Manuel Panselinos,Théophane le Grec,undirected,1
Manuel Panselinos,Théophane le Grec,undirected,1
Manuel Panselinos,Nikolaos Philanthropinos,undirected,1
Manuel Panselinos,Nikolaos Philanthropinos,undirected,1
Manuel Panselinos,Nikolaos Philanthropinos,undirected,1
Georgios Kalliergis,Théophane le Grec,undirected,1
Georgios Kalliergis,Théophane le Grec,undirected,1
Georgios Kalliergis,Théophane le Grec,undirected,1
Georgios Kalliergis,Nikolaos Philanthropinos,undirected,1
Georgios Kalliergis,Nikolaos Philanthropinos,undirected,1
Georgios Kalliergis,Nikolaos Philanthropinos,undirected,1
Mokuan Reien,Takashina Takakane,undirected,1
Mokuan Reien,Bompō,undirected,1
Mokuan Reien,Tokusai,undirected,1
Mokuan Reien,Tosa Yukihiro,undirected,1
Mokuan Reien,Josetsu,undirected,1
Mokuan Reien,Nōami,undirected,1
Meister von Königsfelden,Maître de Waltensburg,undirected,1
Meister von Königsfelden,Peter Maggenberg,undirected,1
Zhu Haogu,Ni Zan,undirected,1
Zhu Haogu,Fang Congyi,undirected,1
Zhu Haogu,Tövtömör Khan,undirected,1
Zhu Haogu,Wang Meng,undirected,1
Zhu Haogu,Sa Dula,undirected,1
Zhu Haogu,Sheng Mao,undirected,1
Zhu Haogu,Cui Fu,undirected,1
Zhu Haogu,Togoontömör,undirected,1
Zhu Haogu,Wang Lü,undirected,1
Zhu Haogu,Wang Yuan,undirected,1
Zhu Haogu,Zhao Yuan,undirected,1
Zhu Haogu,Wang Zhenpeng,undirected,1
Zhu Haogu,Yan Hui,undirected,1
