painter;painterLabel;nationalityLabel;birthDate;deathDate;artMovementLabel;Period
http://www.wikidata.org/entity/Q1246986;Meister des Altenberger Altars;Allemagne;1300-01-01 ;1400-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q1918327;Meister der Augustiner-Kreuzigung;Allemagne;1300-01-01 ;1400-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q66677309;mestre de l’Arboç;Couronne d'Aragon;1300-01-01 ;1400-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q1151590;Manuel Panselinos;Empire byzantin;1300-01-01 ;1400-01-01 ;Renaissance Paléologue;1300-1400
http://www.wikidata.org/entity/Q26212528;Georgios Kalliergis;Empire byzantin;1300-01-01 ;1400-01-01 ;Renaissance Paléologue;1300-1400
http://www.wikidata.org/entity/Q4072985;Ahmad Moussa;Ilkhanat;1300-01-01 ;1400-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q4072985;Ahmad Moussa;Jalayirides;1300-01-01 ;1400-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q3319422;Mokuan Reien;Japon;1300-01-01 ;1345-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q22918416;Aleksa Petrov;Rus' de Kiev;1300-01-01 ;1350-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q1338030;Meister von Königsfelden;Suisse;1300-01-01 ;1400-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q4515498;Zhu Haogu;dynastie Yuan en Chine;1300-01-01 ;1400-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q741062;Paolo Veneziano;république de Venise;1300-01-01 ;1365-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q1918689;Master of Heiligenkreuz;Autriche;1301-01-01 ;1430-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q5650886;Hans von Judenburg;Autriche;1301-01-01 ;1401-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q3410504;Puccio di Simone;Italie;1301-01-01 ;1362-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q18217582;Pietro di Giovanni Lianori;Italie;1301-01-01 ;1460-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q731030;Ni Zan;dynastie Yuan en Chine;1301-01-01 ;1374-01-01 ;Peinture de lettrés;1300-1400
http://www.wikidata.org/entity/Q588238;Biagio di Giorgio da Traù;république de Venise;1301-01-01 ;1449-01-01 ;;1300-1400
